driver, K, U, Reqs, Zipf_A, S(64; 0)_Hyper(0e+00; 0.100), RM_Hyper(0e+00; 0.100), S(64; 19)_Hyper(0e+00; 0.100)
Z(1.000100)P1C, 1.000e+02, 1.000e+05, 1.100e+06, 1.000, 0.603014, 0.600604, 0.601184
Z(1.400000)P1C, 1.000e+02, 1.000e+05, 1.100e+06, 1.000, 0.122312, 0.121299, 0.121526
Z(1.000100)P1C, 2.500e+02, 1.000e+05, 1.100e+06, 1.000, 0.524305, 0.521067, 0.521611
Z(1.400000)P1C, 2.500e+02, 1.000e+05, 1.098e+06, 1.000, 0.082007, 0.081077, 0.081279
Z(1.000100)P1C, 5.000e+02, 1.000e+05, 1.099e+06, 1.000, 0.464870, 0.461093, 0.461929
Z(1.400000)P1C, 5.000e+02, 1.000e+05, 1.096e+06, 1.000, 0.060376, 0.059610, 0.059756
Z(1.000100)P1C, 7.500e+02, 1.000e+05, 1.099e+06, 1.000, 0.430163, 0.426932, 0.427721
Z(1.400000)P1C, 7.500e+02, 1.000e+05, 1.092e+06, 1.000, 0.050453, 0.049899, 0.050023
Z(1.000100)P1C, 1.000e+03, 1.000e+05, 1.098e+06, 1.000, 0.405554, 0.401812, 0.402685
Z(1.400000)P1C, 1.000e+03, 1.000e+05, 1.088e+06, 1.000, 0.044478, 0.044012, 0.044107
Z(1.000100)P1C, 1.500e+03, 1.000e+05, 1.097e+06, 1.000, 0.371061, 0.367672, 0.368494
Z(1.400000)P1C, 1.500e+03, 1.000e+05, 1.078e+06, 1.000, 0.037201, 0.036947, 0.037037
Z(1.000100)P1C, 2.000e+03, 1.000e+05, 1.096e+06, 1.000, 0.347301, 0.344151, 0.344904
Z(1.400000)P1C, 2.000e+03, 1.000e+05, 1.067e+06, 1.000, 0.032951, 0.032761, 0.032810
Z(1.000100)P1C, 3.000e+03, 1.000e+05, 1.093e+06, 1.000, 0.313651, 0.310780, 0.311435
Z(1.400000)P1C, 3.000e+03, 1.000e+05, 1.040e+06, 1.000, 0.027607, 0.027586, 0.027593
Z(1.000100)P1C, 4.000e+03, 1.000e+05, 1.091e+06, 1.000, 0.289890, 0.287620, 0.288048
Z(1.400000)P1C, 4.000e+03, 1.000e+05, 1.006e+06, 1.000, 0.024498, 0.024541, 0.024486
Z(1.000100)P1C, 5.000e+03, 1.000e+05, 1.088e+06, 1.000, 0.271741, 0.269845, 0.270456
Z(1.400000)P1C, 5.000e+03, 1.000e+05, 9.679e+05, 1.000, 0.022187, 0.022264, 0.022226
Z(1.000100)P1C, 7.500e+03, 1.000e+05, 1.079e+06, 1.000, 0.238698, 0.237469, 0.237816
Z(1.400000)P1C, 7.500e+03, 1.000e+05, 8.563e+05, 1.000, 0.018526, 0.018566, 0.018497
Z(1.000100)P1C, 1.000e+04, 1.000e+05, 1.070e+06, 1.000, 0.215488, 0.214842, 0.214908
Z(1.400000)P1C, 1.000e+04, 1.000e+05, 7.151e+05, 1.000, 0.016001, 0.016075, 0.016071
Z(1.000100)P1C, 1.500e+04, 1.000e+05, 1.049e+06, 1.000, 0.182878, 0.182701, 0.182772
Z(1.400000)P1C, 1.500e+04, 1.000e+05, 3.656e+05, 1.000, 0.012415, 0.012426, 0.012382
Z(1.000100)P1C, 2.000e+04, 1.000e+05, 1.024e+06, 1.000, 0.158851, 0.159034, 0.158827
Z(1.400000)P1C, 2.000e+04, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000, 0.000000
Z(1.000100)P1C, 3.000e+04, 1.000e+05, 9.602e+05, 1.000, 0.124706, 0.125037, 0.124685
Z(1.400000)P1C, 3.000e+04, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000, 0.000000
Z(1.000100)P1C, 4.000e+04, 1.000e+05, 8.789e+05, 1.000, 0.098222, 0.098675, 0.098362
Z(1.400000)P1C, 4.000e+04, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000, 0.000000
Z(1.000100)P1C, 5.000e+04, 1.000e+05, 7.694e+05, 1.000, 0.076308, 0.076788, 0.076490
Z(1.400000)P1C, 5.000e+04, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000, 0.000000
Z(1.000100)P1C, 7.500e+04, 1.000e+05, 2.822e+05, 1.000, 0.032612, 0.032556, 0.032453
Z(1.400000)P1C, 7.500e+04, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000, 0.000000
Z(1.000100)P1C, 1.000e+05, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000, 0.000000
Z(1.400000)P1C, 1.000e+05, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000, 0.000000
Z(1.000100)P1C, 1.500e+05, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000, 0.000000
Z(1.400000)P1C, 1.500e+05, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000, 0.000000
