k, S(1)_Hyper(0e+00; 0.100), S(2)_Hyper(0e+00; 0.100), S(5)_Hyper(0e+00; 0.100), S(10)_Hyper(0e+00; 0.100), S(25)_Hyper(0e+00; 0.100), S(500)_Hyper(0e+00; 0.100)
100, 3.876516e+01, 7.657952e+00, 2.457819e+00, 1.579171e+00, 1.177249e+00, 1.000164e+00
250, 5.721360e+01, 9.676788e+00, 2.913622e+00, 1.795937e+00, 1.271351e+00, 1.001847e+00
500, 7.503225e+01, 1.127242e+01, 3.302681e+00, 1.993148e+00, 1.357920e+00, 1.004650e+00
750, 8.422166e+01, 1.213070e+01, 3.545379e+00, 2.110476e+00, 1.406216e+00, 1.006725e+00
1000, 8.702423e+01, 1.249250e+01, 3.730395e+00, 2.230359e+00, 1.447004e+00, 1.008496e+00
1500, 8.745591e+01, 1.265051e+01, 3.955860e+00, 2.389266e+00, 1.508744e+00, 1.011666e+00
2000, 8.878667e+01, 1.269302e+01, 4.113087e+00, 2.487631e+00, 1.557906e+00, 1.013665e+00
3000, 7.997525e+01, 1.233608e+01, 4.184118e+00, 2.619549e+00, 1.635261e+00, 1.017145e+00
4000, 7.033111e+01, 1.099488e+01, 4.210317e+00, 2.682400e+00, 1.664395e+00, 1.020914e+00
5000, 6.141832e+01, 1.062256e+01, 4.169074e+00, 2.701563e+00, 1.748442e+00, 1.023340e+00
7500, 4.823300e+01, 8.585098e+00, 3.992561e+00, 2.737577e+00, 1.797258e+00, 1.031103e+00
10000, 3.811533e+01, 7.162287e+00, 3.680109e+00, 2.672393e+00, 1.892200e+00, 1.038469e+00
15000, 2.662537e+01, 5.606222e+00, 3.183589e+00, 2.617745e+00, 1.946837e+00, 1.052624e+00
20000, 1.974369e+01, 4.712347e+00, 2.785068e+00, 2.335640e+00, 1.971877e+00, 1.063845e+00
30000, 1.149048e+01, 3.257269e+00, 2.020598e+00, 1.663199e+00, 1.473586e+00, 1.076605e+00
40000, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00
50000, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00
75000, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00
100000, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00
150000, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00
