driver, K, U, Reqs, Zipf_A, S_Hyper(0e+00; 0.100)
VTree(40k), 1.000e+02, 1.000e+05, 1.100e+06, 1.000, 2.235376
VTree(40k), 2.500e+02, 1.000e+05, 1.100e+06, 1.000, 2.208360
VTree(40k), 5.000e+02, 1.000e+05, 1.099e+06, 1.000, 2.169487
VTree(40k), 7.500e+02, 1.000e+05, 1.099e+06, 1.000, 2.133488
VTree(40k), 1.000e+03, 1.000e+05, 1.099e+06, 1.000, 2.103491
VTree(40k), 1.500e+03, 1.000e+05, 1.098e+06, 1.000, 2.047698
VTree(40k), 2.000e+03, 1.000e+05, 1.098e+06, 1.000, 1.996066
VTree(40k), 3.000e+03, 1.000e+05, 1.097e+06, 1.000, 1.902364
VTree(40k), 4.000e+03, 1.000e+05, 1.096e+06, 1.000, 1.818699
VTree(40k), 5.000e+03, 1.000e+05, 1.095e+06, 1.000, 1.742661
VTree(40k), 7.500e+03, 1.000e+05, 1.092e+06, 1.000, 1.568700
VTree(40k), 1.000e+04, 1.000e+05, 1.088e+06, 1.000, 1.413005
VTree(40k), 1.500e+04, 1.000e+05, 1.081e+06, 1.000, 1.128821
VTree(40k), 2.000e+04, 1.000e+05, 1.071e+06, 1.000, 0.871475
VTree(40k), 3.000e+04, 1.000e+05, 1.042e+06, 1.000, 0.405531
VTree(40k), 4.000e+04, 1.000e+05, 8.144e+05, 1.000, 0.001862
