driver, K, U, Reqs, Zipf_A, W(1e+04)LFU, W(1e+04)DegF(0e+00; 0.100), S_Hyper(0e+00; 1.000), Sampling_Frequency, GD_PQ
ZipfFixedDriver.DynPromote.100, 1.000e+02, 1.000e+05, 1.100e+06, 1.000, 0.674230, 0.585014, 0.640171, 0.833379, 0.700099
ZipfFixedDriver.DynPromote.100, 2.500e+02, 1.000e+05, 1.100e+06, 1.000, 0.506601, 0.524283, 0.550444, 0.744355, 0.616775
ZipfFixedDriver.DynPromote.100, 5.000e+02, 1.000e+05, 1.099e+06, 1.000, 0.461433, 0.477896, 0.484976, 0.674355, 0.553512
ZipfFixedDriver.DynPromote.100, 7.500e+02, 1.000e+05, 1.099e+06, 1.000, 0.447885, 0.453147, 0.447610, 0.630011, 0.515863
ZipfFixedDriver.DynPromote.100, 1.000e+03, 1.000e+05, 1.098e+06, 1.000, 0.433142, 0.434231, 0.420868, 0.594702, 0.488841
ZipfFixedDriver.DynPromote.100, 1.500e+03, 1.000e+05, 1.097e+06, 1.000, 0.416585, 0.415301, 0.383850, 0.543409, 0.450249
ZipfFixedDriver.DynPromote.100, 2.000e+03, 1.000e+05, 1.096e+06, 1.000, 0.400681, 0.399902, 0.358226, 0.502224, 0.422645
ZipfFixedDriver.DynPromote.100, 3.000e+03, 1.000e+05, 1.094e+06, 1.000, 0.374845, 0.373755, 0.322917, 0.438098, 0.383400
ZipfFixedDriver.DynPromote.100, 4.000e+03, 1.000e+05, 1.091e+06, 1.000, 0.353875, 0.353145, 0.298147, 0.387919, 0.355228
ZipfFixedDriver.DynPromote.100, 5.000e+03, 1.000e+05, 1.088e+06, 1.000, 0.335983, 0.336098, 0.279390, 0.346125, 0.333117
ZipfFixedDriver.DynPromote.100, 7.500e+03, 1.000e+05, 1.080e+06, 1.000, 0.311830, 0.314280, 0.246571, 0.264127, 0.292043
ZipfFixedDriver.DynPromote.100, 1.000e+04, 1.000e+05, 1.070e+06, 1.000, 0.290511, 0.292652, 0.224164, 0.213401, 0.262304
ZipfFixedDriver.DynPromote.100, 1.500e+04, 1.000e+05, 1.050e+06, 1.000, 0.261401, 0.256727, 0.193536, 0.181029, 0.219414
ZipfFixedDriver.DynPromote.100, 2.000e+04, 1.000e+05, 1.026e+06, 1.000, 0.227739, 0.233044, 0.169450, 0.160355, 0.188150
ZipfFixedDriver.DynPromote.100, 3.000e+04, 1.000e+05, 9.637e+05, 1.000, 0.174035, 0.183169, 0.131397, 0.127918, 0.143317
ZipfFixedDriver.DynPromote.100, 4.000e+04, 1.000e+05, 8.851e+05, 1.000, 0.138973, 0.147561, 0.102449, 0.100189, 0.109615
ZipfFixedDriver.DynPromote.100, 5.000e+04, 1.000e+05, 7.811e+05, 1.000, 0.106576, 0.104772, 0.078971, 0.077820, 0.083417
ZipfFixedDriver.DynPromote.100, 7.500e+04, 1.000e+05, 3.177e+05, 1.000, 0.043526, 0.042400, 0.033835, 0.033907, 0.034134
ZipfFixedDriver.DynPromote.100, 1.000e+05, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
ZipfFixedDriver.DynPromote.100, 1.500e+05, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
